# McDonald2007 Figure 1
# Temperature: 300 K
# Velocity: 454 m s^-1
# Flyer Mat: Cu
# Flyer Thick: 5 mm
# Anvil Mat: Cu
# Anvil Thick: 3 mm
# Target Mat: Ti64
# Target Thick: 8 mm
# Backer Mat: N/A
# Backer Thick: N/A
# Guage position: 0 mm (target/anvil int.)
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, N/A
#  C, N/A
#  H, N/A
# Fe, N/A
#  O, N/A
# Al, 6
#  V, 4
# Mn, N/A
# Si, N/A
# ----------
Time (us), stress (GPa)
0.01372,-7e-05
0.17837,0.0184
0.34304,0.0176
0.50081,0.0553
0.65863,0.0353
0.80949,0.1307
0.83014,0.0537
0.86123,-0.1173
0.90467,0.0198
0.91945,-0.0813
0.94301,-0.2398
0.95341,0.3223
0.95986,0.8031
0.96359,1.1643
0.96861,1.668
0.98582,2.5337
0.99227,3.0145
1.00558,3.4952
1.01891,3.9566
1.02535,4.4374
1.0318,4.9181
1.04511,5.3988
1.05763,5.804
1.07884,6.0717
1.08986,6.3228
1.11275,6.5331
1.1277,6.6584
1.16032,6.7193
1.19838,6.7802
1.23602,6.8017
1.31269,6.8407
1.40065,6.8394
1.4924,6.8398
1.52404,6.9734
1.54654,7.2059
1.57929,7.1141
1.59266,6.9539
1.64473,7.007
1.71623,6.8764
1.78634,6.9758
1.82987,7.0213
1.85339,6.9526
1.8845,6.8226
1.9064,6.6852
1.97022,6.7213
2.04786,6.8219
2.12108,6.8167
2.20581,6.7906
2.28575,6.8159
2.3691,6.8814
2.45042,6.8151
2.53792,6.8806
2.61503,6.872
2.77972,6.852
2.95124,6.8512
3.11591,6.8504
3.21879,6.6941
3.24635,6.7536
3.29486,6.8769
3.33856,6.7241
3.38356,6.7722
3.4147,6.8458
3.45926,6.5026
3.4871,6.0409
3.53029,5.4105
3.60692,4.9522
