# McDonald2007 Figure 1
# Temperature: 300 K
# Velocity: 454 m s^-1
# Flyer Mat: Cu
# Flyer Thick: 5 mm
# Anvil Mat: Cu
# Anvil Thick: 3 mm
# Target Mat: Ti64
# Target Thick: 8 mm
# Backer Mat: N/A
# Backer Thick: N/A
# Guage position: 4 mm (mid target)
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, N/A
#  C, N/A
#  H, N/A
# Fe, N/A
#  O, N/A
# Al, 6
#  V, 4
# Mn, N/A
# Si, N/A
# ----------
Time (us), stress (GPa)
1.11148,0.0139
1.20422,-0.0274
1.26932,-0.0253
1.33492,-0.028
1.37887,0.2434
1.40525,0.5059
1.41964,0.7047
1.44837,1.0246
1.46426,1.5435
1.4735,1.8968
1.48681,2.3775
1.50014,2.8389
1.51345,3.3196
1.52677,3.7811
1.54375,4.1074
1.55419,4.6263
1.57602,4.5804
1.59459,4.7039
1.61393,4.8244
1.66842,4.7784
1.73185,4.6648
1.80473,4.5793
1.88972,4.5871
1.93552,4.4718
1.97359,4.5327
2.03388,4.4902
2.1043,4.5168
2.17787,4.6049
2.22956,4.5009
2.26234,4.3787
2.31527,4.3927
2.37662,4.4697
2.42497,4.4883
2.49099,4.4539
2.51815,4.5301
2.57591,4.4876
2.67066,4.4988
2.74054,4.5253
2.82858,4.4981
2.90519,4.5437
2.96469,4.5432
3.0083,4.4819
3.06305,4.4853
3.11721,4.4814
3.14459,4.3134
3.1594,4.1387
3.17321,4.0424
3.19936,3.9468
3.2267,3.8093
3.28328,3.6958
3.30857,3.5952
3.35228,3.4271
3.39335,3.3491
3.43418,3.1825
3.48288,2.964
3.51621,2.77
3.5519,2.4829
3.58201,2.2507
3.62774,2.0595
3.66221,1.867
3.68594,1.7007
3.71331,1.548
3.75173,1.482
