# Nemat-Nasser2001 Figure 1a Commercial Ti64
# Temperature: 998 K
# Strain rate: 3700 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 619.22
0.002951, 646.23
0.005574, 633.77
0.00787, 612.99
0.010493, 588.05
0.0141, 569.35
0.018691, 583.9
0.022702, 611.42
0.025905, 629.61
0.029523, 624.78
0.033775, 610.91
0.037197, 615.87
0.040989, 631.69
0.044871, 633.69
0.053397, 629.23
0.061071, 633.69
0.068745, 633.69
0.076418, 633.69
0.084945, 629.23
0.093471, 633.69
0.101145, 638.14
0.109671, 642.59
0.118197, 647.05
0.126724, 647.05
0.13525, 651.5
0.142924, 655.95
0.15145, 655.95
0.159977, 660.41
0.16765, 669.31
0.175324, 664.86
0.18385, 669.31
0.192377, 673.77
0.200051, 669.31
0.208577, 673.77
0.217103, 678.22
0.22563, 678.22
0.234156, 678.22
0.242682, 678.22
0.251209, 678.22
0.258883, 687.13
0.267409, 687.13
0.275935, 687.13
0.284462, 687.13
0.292988, 687.13
0.301514, 682.68
0.310041, 682.68
0.318567, 687.13
0.327093, 687.13
0.33562, 687.13
0.343294, 687.13
0.350967, 687.13
0.359494, 691.58
0.367167, 687.13
0.375694, 687.13
0.38422, 687.13
0.392746, 687.13
0.401273, 687.13
0.409799, 687.13
0.418326, 687.13
0.426852, 687.13
0.435378, 687.13
0.443905, 687.13
0.452431, 687.13
0.460957, 687.13
0.468631, 691.58
0.477157, 691.58
0.485684, 691.58
0.49421, 691.58
0.502737, 691.58
0.511263, 691.58
0.519789, 691.58
0.528316, 691.58
0.535989, 687.13
0.544516, 687.13
0.553042, 687.13
0.561568, 687.13
0.569242, 682.68
