# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 5100 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1653.62
0.00387, 1662.43
0.007753, 1640.25
0.011634, 1622.49
0.016477, 1622.44
0.020828, 1640.1
0.024206, 1671.06
0.028069, 1697.59
0.032422, 1710.82
0.037261, 1719.62
0.041139, 1710.73
0.045504, 1692.97
0.050345, 1697.34
0.054704, 1697.29
0.059067, 1683.96
0.063908, 1688.33
0.068261, 1701.57
0.072612, 1719.23
0.077457, 1714.75
0.081821, 1701.42
0.086182, 1692.51
0.090537, 1701.32
0.094888, 1718.99
0.099245, 1723.37
0.103119, 1723.32
0.107962, 1723.27
0.112804, 1723.22
0.117161, 1727.6
0.121271, 1743.05
0.125385, 1749.65
0.12902, 1740.75
0.133133, 1749.56
0.137972, 1758.36
0.142332, 1753.89
0.147173, 1758.26
0.152019, 1749.35
0.157832, 1744.86
0.161704, 1749.24
0.166066, 1740.34
0.170914, 1727.0
0.175269, 1735.81
0.18011, 1740.18
