# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 800 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 511.54
0.002708, 540.23
0.006921, 575.66
0.01174, 597.58
0.013848, 609.38
0.01927, 626.23
0.024693, 636.33
0.030116, 649.8
0.035539, 659.89
0.040962, 669.99
0.046988, 680.08
0.051809, 686.8
0.057836, 693.51
0.06326, 700.23
0.069286, 706.94
0.07471, 713.66
0.080737, 720.37
0.086161, 723.72
0.091585, 730.43
0.097009, 733.77
0.103036, 740.49
0.10846, 743.83
0.114487, 747.16
0.119912, 750.5
0.125336, 753.84
0.130761, 757.19
0.136788, 760.52
0.142212, 767.24
0.148239, 770.58
0.153664, 770.54
0.159088, 777.26
0.165115, 780.59
0.17054, 780.56
0.176567, 783.89
0.181991, 787.23
0.188019, 790.57
0.193443, 790.53
0.198867, 797.25
0.204293, 793.84
0.209717, 797.18
0.215744, 803.89
0.221772, 803.85
0.227196, 807.19
0.233224, 807.15
0.238648, 810.49
0.244676, 810.45
0.2501, 813.79
0.256128, 813.75
0.261553, 813.71
0.267581, 813.67
0.273608, 817.01
0.279033, 816.97
0.284457, 820.31
0.290485, 820.27
0.295909, 823.61
0.301334, 823.58
0.307361, 826.91
0.312786, 826.87
0.318814, 826.83
0.324239, 826.8
0.329664, 826.76
0.335692, 826.72
0.341117, 826.68
0.346541, 830.02
0.351966, 833.36
0.35739, 833.33
0.362815, 836.67
0.368843, 836.63
0.37487, 836.59
0.380295, 839.93
0.386322, 839.89
0.391747, 843.23
0.397172, 839.81
0.402597, 843.15
0.408625, 843.11
0.414048, 849.83
0.419474, 846.42
0.425501, 849.75
0.431529, 849.71
0.436954, 849.68
0.442981, 849.64
0.448406, 852.98
0.454434, 852.94
