# Nemat-Nasser2001 Figure 1a Commercial Ti64
# Temperature: 77 K
# Strain rate: 1900 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
3.1e-05,0.000557101
0.001999,816.62
0.002327,935.06
0.003311,1024.42
0.003966,1147.01
0.004622,1252.99
0.005934,1396.36
0.006918,1496.1
0.007901,1581.3
0.009213,1674.8
0.010853,1732.99
0.012304,1764.9
0.015115,1778.7
0.019125,1764.9
0.022329,1753.77
0.025947,1769.36
0.031915,1791.62
0.035118,1801.56
0.038736,1791.62
0.042988,1795.32
0.04641,1791.62
0.049874,1778.7
0.054084,1778.26
0.057744,1780.78
0.06261,1782.72
0.069431,1796.08
0.077105,1791.62
0.083073,1804.98
0.089894,1818.34
0.093814,1816.1
0.097568,1822.8
0.100044,1816.1
0.102684,1836.16
0.1078,1845.07
0.113768,1845.07
0.120589,1853.97
0.124638,1855.58
0.129116,1858.43
0.135937,1867.33
0.141905,1880.7
0.147021,1880.7
0.152137,1885.15
0.157253,1880.7
0.164074,1871.79
