# Nemat-Nasser2001 Figure 1a Commercial Ti64
# Temperature: 296 K
# Strain rate: 1900 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
3.1e-05,0.000557101
0.002327,816.62
0.003966,1084.67
0.004622,1201.04
0.005606,1267.53
0.00659,1334.03
0.008041,1337.36
0.009213,1354.8
0.013157,1337.36
0.014787,1319.48
0.019125,1337.36
0.022657,1352.73
0.025947,1350.72
0.03362,1364.08
0.042147,1355.17
0.050673,1364.08
0.057494,1341.81
0.064315,1368.53
0.072842,1368.53
0.080515,1372.98
0.089042,1381.89
0.096715,1386.35
0.105242,1399.71
0.112915,1408.61
0.121442,1417.52
0.129968,1421.97
0.137642,1435.33
0.146168,1444.24
0.154695,1448.7
0.162368,1453.15
0.170895,1462.06
0.178568,1470.96
0.187095,1479.87
0.195621,1484.32
0.203295,1488.78
0.211821,1493.23
0.220348,1497.69
0.228021,1502.14
0.235695,1506.59
0.244222,1506.59
0.252748,1511.05
0.261274,1511.05
0.268948,1511.05
0.277474,1515.5
0.282691,1506.49
