# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1179.87
0.003377, 1210.83
0.007241, 1237.36
0.011592, 1255.02
0.015943, 1272.69
0.020298, 1281.49
0.024651, 1294.73
0.029488, 1307.96
0.033843, 1316.77
0.03868, 1330.0
0.043035, 1338.81
0.047874, 1347.61
0.052229, 1356.42
0.056582, 1369.65
0.060939, 1374.03
0.065295, 1378.41
0.06965, 1387.22
0.074005, 1396.03
0.078844, 1404.83
0.083685, 1409.2
0.088038, 1422.44
0.092394, 1426.82
0.096749, 1435.63
0.103041, 1444.41
0.107882, 1448.79
0.112723, 1453.16
0.117077, 1461.97
0.121918, 1466.35
0.126273, 1475.15
0.131114, 1479.53
0.13547, 1483.91
0.139343, 1488.29
0.143699, 1492.67
0.148054, 1501.48
0.152413, 1501.43
0.156767, 1510.24
0.16161, 1510.19
0.165967, 1514.57
0.170321, 1523.37
0.174678, 1527.75
0.180003, 1532.12
0.18436, 1536.5
0.1892, 1540.88
0.193557, 1545.26
0.198398, 1549.63
0.202756, 1549.58
0.208566, 1553.95
0.212922, 1558.33
0.217763, 1562.7
0.228413, 1571.44
0.23277, 1575.82
