# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
6.93889e-18,4.54747e-13
0.001904,81.9
0.003812,154.94
0.005234,230.2
0.006408,320.96
0.007084,444.94
0.007533,533.5
0.008452,655.26
0.009154,717.24
0.009376,765.95
0.010552,852.28
0.011946,998.39
0.012412,1042.67
0.012636,1089.16
0.013333,1160
0.014046,1193.2
0.014736,1283.97
0.017352,1401.28
0.019502,1474.32
0.020695,1518.59
0.024078,1534.05
0.027223,1540.66
0.031088,1562.76
0.036411,1573.77
0.040767,1578.15
0.045607,1586.95
0.049481,1586.91
0.053353,1591.29
0.058192,1600.09
0.062549,1604.47
0.067391,1604.42
0.071748,1608.8
0.076589,1613.17
0.081428,1621.98
0.085784,1626.36
0.090623,1635.16
0.094984,1630.68
0.099828,1626.2
0.104672,1621.72
0.109031,1621.67
0.112668,1608.35
0.117763,1583.94
0.120197,1550.7
