# Nemat-Nasser2001 Figure 1c RS-HIP Ti64
# Temperature: 700 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.01
#  H, 0.002
# Fe, 0.19
#  O, 0.2
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 533.49
0.003309, 568.93
0.008427, 602.66
0.013546, 629.64
0.018365, 649.87
0.023788, 663.35
0.02921, 676.82
0.034633, 690.29
0.040056, 700.38
0.045479, 713.86
0.050903, 720.57
0.056326, 730.67
0.06175, 737.39
0.06657, 747.49
0.071391, 754.21
0.077418, 760.92
0.083445, 767.63
0.088868, 774.35
0.094895, 781.07
0.100319, 787.78
0.106346, 791.12
0.111769, 801.21
0.117796, 807.93
0.12322, 811.27
0.128645, 814.61
0.133466, 817.95
0.13889, 824.67
0.144917, 831.38
0.149739, 831.35
0.155162, 841.45
0.160587, 844.79
0.166614, 848.12
0.172038, 851.46
0.178065, 858.18
0.184092, 861.51
0.189516, 864.85
0.19494, 871.57
0.200968, 871.53
0.206995, 874.87
0.213022, 878.2
0.218447, 881.54
0.223871, 888.26
0.229295, 891.6
0.23472, 891.57
0.240747, 894.9
0.246774, 898.24
0.252199, 901.58
0.258226, 904.92
0.26365, 908.26
0.269678, 908.21
0.2745, 908.18
0.279924, 914.9
0.285952, 914.86
0.291376, 918.2
0.2968, 921.54
0.302828, 921.5
0.308253, 924.84
0.31428, 924.8
0.319705, 928.14
0.325129, 931.48
0.331157, 931.44
0.336581, 934.78
0.342609, 934.74
0.348033, 938.08
0.354061, 938.04
0.358883, 941.38
0.364308, 941.35
