# Nemat-Nasser2001 Figure 1d RS-MIL-HIP Ti64
# Temperature: 296 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.005
#  N, 0.008
#  C, 0.02
#  H, 0.002
# Fe, 0.19
#  O, 0.28
# Al, 6.33
#  V, 4.13
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1518.59
0.003383, 1534.05
0.006528, 1540.66
0.010393, 1562.76
0.015716, 1573.77
0.020072, 1578.15
0.024912, 1586.95
0.028786, 1586.91
0.032658, 1591.29
0.037497, 1600.09
0.041854, 1604.47
0.046696, 1604.42
0.051053, 1608.8
0.055894, 1613.17
0.060733, 1621.98
0.065089, 1626.36
0.069928, 1635.16
0.074289, 1630.68
0.079133, 1626.2
0.083977, 1621.72
0.088336, 1621.67
