# Nemat-Nasser2001 Figure 1b Commercial Ti64
# Temperature: 296 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1376.21
0.002915, 1350.35
0.004375, 1330.04
0.007291, 1300.5
0.01068, 1318.92
0.013587, 1329.96
0.016497, 1326.24
0.019889, 1335.44
0.02328, 1344.63
0.02813, 1340.9
0.032493, 1340.86
0.037339, 1351.88
0.041702, 1355.53
0.04655, 1355.49
0.050914, 1355.45
0.05576, 1366.47
0.060121, 1377.5
0.064967, 1384.84
0.06933, 1388.49
0.074179, 1388.44
0.078544, 1381.02
0.083393, 1380.98
0.087756, 1380.94
0.092119, 1384.59
0.09648, 1395.62
0.101329, 1395.57
0.106179, 1388.15
0.1103, 1388.11
