# Casem2018 Figure 2b
# Temperature: 295 K
# Strain rate: 22000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1162.42
0.00391, 1218.61
0.006478, 1258.12
0.009865, 1277.44
0.012902, 1290.61
0.016289, 1302.02
0.019034, 1309.92
0.022538, 1315.19
0.024933, 1309.92
0.02873, 1309.04
0.034161, 1335.38
0.037431, 1349.43
0.041168, 1365.23
0.04403, 1370.5
0.04695, 1374.89
0.050865, 1355.58
0.05291, 1346.8
0.056824, 1338.02
0.061146, 1352.94
0.063423, 1359.96
0.066928, 1364.35
0.070199, 1361.72
0.073879, 1357.33
0.077441, 1369.62
0.080361, 1380.16
0.084625, 1381.91
0.087779, 1384.55
0.090641, 1397.72
0.093678, 1404.74
0.097182, 1409.13
0.10092, 1409.13
0.104074, 1410.01
0.107404, 1415.28
0.110616, 1426.69
0.112718, 1425.81
0.115522, 1423.18
0.118267, 1431.08
0.120545, 1438.98
0.123231, 1446.01
0.126969, 1453.03
0.130765, 1461.81
0.134854, 1465.32
0.138417, 1470.59
0.141454, 1471.47
0.14566, 1468.83
0.149164, 1475.86
0.153252, 1482.88
0.159911, 1494.29
0.163532, 1502.19
0.169431, 1500.44
0.173578, 1502.19
0.175856, 1506.58
