# Casem2018 Figure 2a
# Temperature: 295 K
# Strain rate: 2200 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1090.86
0.001776, 1090.86
0.00296, 1137.41
0.004735, 1208.79
0.006314, 1247.59
0.008484, 1249.14
0.009865, 1280.17
0.012824, 1264.66
0.0146, 1306.55
0.020124, 1275.52
0.021308, 1294.14
0.023084, 1286.38
0.025254, 1298.79
0.02703, 1300.34
0.029594, 1294.14
0.030186, 1301.9
0.032159, 1295.69
0.033343, 1309.66
0.035119, 1298.79
0.035908, 1308.1
0.037881, 1318.97
0.040051, 1306.55
0.042221, 1318.97
0.045181, 1320.52
0.049916, 1325.17
0.051494, 1323.62
0.055835, 1326.72
0.058794, 1322.07
0.060767, 1340.69
0.061951, 1328.28
0.064318, 1328.28
0.066488, 1329.83
0.069251, 1329.83
0.072013, 1334.48
0.074577, 1340.69
