# Zhou 2017 Figure 6
# Temperature: 273 K ??
# Strain rate: 1e3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.014
#  C, 0.04
#  H, 0.005
# Fe, 0.03
#  O, 0.06
# Al, 6.16
#  V, 3.95
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1266.75
0.001912, 1288.31
0.003442, 1294.47
0.006883, 1282.12
0.01109, 1285.18
0.015296, 1315.98
0.01912, 1332.92
0.023136, 1351.39
0.026769, 1365.24
0.029828, 1366.77
0.033843, 1366.74
0.037094, 1377.52
0.039771, 1392.91
0.042256, 1385.19
0.045698, 1391.34
0.048184, 1408.28
0.051625, 1426.76
0.056597, 1439.06
0.060803, 1437.5
0.06501, 1425.15
0.071128, 1417.41
0.074952, 1418.93
0.078776, 1440.49
0.080879, 1428.15
0.0826, 1415.81
0.085851, 1409.63
0.087572, 1421.95
0.090631, 1409.6
0.092352, 1429.63
0.09522, 1448.11
0.097514, 1440.39
0.100574, 1431.13
0.105736, 1440.35
0.108987, 1461.91
