# Chen2015 Figure 5f
# Temperature: 573 K
# Strain rate: 10000 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.00044,385.28
0.003079,665.6
0.007038,830.72
0.012125,926.66
0.016862,985.6
0.021994,1022.72
0.027126,1050.88
0.033001,1063.74
0.038358,1078.26
0.043716,1087.93
0.049258,1094.38
0.054399,1100.8
0.060157,1107.29
0.065515,1116.96
0.070821,1120
0.076415,1126.64
0.081818,1132.8
0.087243,1137.92
0.092375,1137.92
0.098214,1141.15
0.103571,1144.38
0.109113,1149.22
0.114471,1149.22
0.120013,1150.83
0.12566,1149.44
0.131467,1145.99
0.137194,1141.15
0.142551,1139.54
0.148278,1134.7
