# Chen2015 Figure 5e
# Temperature: 293 K
# Strain rate: 7500 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.000117,1027.38
0.005242,1111.22
0.011039,1156.77
0.016794,1197.76
0.023146,1235.5
0.029212,1258.09
0.034762,1287.43
0.041019,1305.28
0.046938,1320.76
0.053083,1330.98
0.05919,1346.36
0.065179,1348.92
0.071403,1352.76
0.077301,1361.39
0.083516,1369.46
0.089582,1377.53
0.095797,1382.37
0.10229,1387.35
0.108226,1393.67
0.114621,1398.88
0.120846,1404
0.127187,1409.13
0.133412,1398.88
0.139636,1406.57
0.145743,1398.88
0.152437,1383.51
