# Chen2015 Figure 5c
# Temperature: 773 K
# Strain rate: 2500 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.000376,696.88
0.005324,745.13
0.011176,759.65
0.017368,782.71
0.022877,811.3
0.028729,830.67
0.0351,840.35
0.040832,845.19
0.047134,850.6
0.052669,859.72
0.058654,864.56
0.064869,868.53
0.070625,874.25
0.076743,879.09
0.083017,884.88
0.088833,883.91
0.094957,881.35
0.100896,884.88
0.107014,890.33
0.113055,887.16
0.118921,881.35
0.125256,881.35
0.130878,883.93
0.136997,888.77
0.142982,890.39
0.148968,888.77
0.155344,878.78
0.161679,871.1
