# Chen2015 Figure 5d
# Temperature: 293 K
# Strain rate: 4000 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.000587,949.24
0.006153,1062.9
0.012471,1141.33
0.019462,1191.95
0.026262,1232.21
0.033451,1253.95
0.040493,1273.13
0.047559,1291.87
0.054583,1311.2
0.061792,1324.08
0.068809,1335.76
0.076025,1344.99
0.083234,1353.02
0.090443,1357.83
0.097418,1374.04
0.1049,1377.85
0.111885,1381.93
0.119095,1388.35
0.12632,1402.07
0.133656,1404.6
0.140722,1404.37
0.148327,1399.4
0.155325,1396.23
0.162852,1387.8
0.170041,1381.35
0.177523,1365.94
