# Chen2015 Figure 5b
# Temperature: 373 K
# Strain rate: 1.0e-2 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.0101,846.75
0.020435,920.7
0.030534,962.17
0.041104,993.56
0.051673,1013.75
0.062008,1033.93
0.072108,1050.76
0.082208,1063.11
0.092777,1075.46
0.103112,1091.17
0.113212,1103.52
0.124016,1113.63
0.133881,1123.74
0.144451,1132.73
0.154785,1140.6
0.16512,1149.59
0.175455,1159.69
0.185789,1166.44
0.196359,1174.31
0.206694,1177.7
0.217028,1184.45
0.227363,1191.2
0.237698,1196.83
0.248032,1202.46
0.258602,1209.21
0.269172,1213.72
0.279036,1219.35
