# Chen2015 Figure 5f
# Temperature: 293 K
# Strain rate: 10000 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.001026,953.6
0.006452,1061.12
0.012023,1166.08
0.017742,1207.04
0.023314,1242.88
0.028886,1280
0.034018,1301.76
0.039883,1318.4
0.045455,1327.36
0.051026,1342.72
0.056745,1356.8
0.062463,1368.32
0.067547,1378.22
0.073314,1381.12
0.078886,1390.08
0.084604,1396.48
0.090029,1404.16
0.095601,1410.56
0.101173,1415.68
0.106712,1413.7
0.112463,1420.8
0.117742,1425.92
0.123154,1428.21
0.129032,1438.72
0.134751,1438.72
0.140176,1445.12
0.145748,1437.44
0.151173,1436.16
