# Chen2015 Figure 5a
# Temperature: 293 K
# Strain rate: 1.0e-4 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
-0.00014,923.821
0.009337,1000.465
0.019831,1042.974
0.029633,1072.681
0.039782,1097.219
0.049843,1119.178
0.060206,1136.786
0.070309,1152.985
0.080672,1168.478
0.090774,1181.857
0.101135,1194.53
0.111238,1207.204
0.121614,1216.832
0.131893,1228.007
0.142061,1238.879
0.152421,1248.028
0.16273,1257.054
0.172882,1266.325
0.183242,1274.063
0.19377,1281.065
0.203702,1287.425
0.214062,1293.754
0.224421,1300.082
0.234521,1305.706
0.24488,1309.919
0.255238,1312.723
0.265507,1317.321
0.275954,1314.099
