# Chen2015 Figure 5b
# Temperature: 973 K
# Strain rate: 1.0e-2 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.00047,342.72
0.011039,526.43
0.023723,585.83
0.036641,613.86
0.049794,629.58
0.062713,638.58
0.075396,647.57
0.088315,652.09
0.101692,655.31
0.114712,656.76
0.127733,658.21
0.141397,655.6
0.154367,656.87
0.167388,656.91
0.180409,655.53
0.193775,655.75
0.206929,653.54
0.219767,654.23
0.23347,654.74
0.246105,654.31
0.259126,654.35
0.272147,652.97
0.286083,650.41
0.298484,650.22
0.31192,649.36
0.324822,650.3
0.337843,650.33
0.35116,650.37
0.363885,650.41
