# Chen2015 Figure 5d
# Temperature: 1173 K
# Strain rate: 4000 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.00044,321.53
0.008216,365.05
0.016432,389.35
0.025007,404.29
0.033597,422.57
0.042107,431.49
0.050516,438.06
0.059272,441.65
0.067928,448.01
0.07621,450.84
0.084898,452.41
0.093603,451.72
0.102089,457.16
0.111062,454.19
0.119279,461.91
0.127967,460.26
0.136655,460.21
0.145246,455.3
0.153756,459.1
0.162559,457.77
0.171222,453.58
0.180018,452.56
0.188412,451.88
0.197183,458.88
0.205603,455.02
0.214495,461.35
0.222794,459.77
0.231661,461.26
0.24017,459.68
