# Follansbee1989 Figure 13
# Temperature: 295 K
# Strain rate: 3000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.001
#  C, 0.065
#  H, 0
# Fe, 0.13
#  O, 0.18
# Al, 6.4
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1236.92
0.008352, 1309.09
0.013823, 1309.04
0.021934, 1317.78
0.030244, 1321.23
0.037947, 1326.45
0.047675, 1328.13
0.057407, 1336.85
0.065312, 1340.31
0.07403, 1349.04
0.082948, 1352.49
0.092275, 1361.21
0.100381, 1362.91
0.108693, 1369.88
0.117004, 1375.09
0.1241, 1380.32
0.132816, 1385.53
0.1393, 1385.47
0.144976, 1388.94
0.151868, 1392.41
0.158961, 1394.11
0.165852, 1395.81
