# Lee1998 Figure 3
# Temperature: 298 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0.008
#  C, 0.014
#  H, 0.0057
# Fe, 0.2
#  O, 0.15
# Al, 6.1
#  V, 4.0
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0,1147.03
0.01,1247.52
0.02,1288.7
0.03,1320.04
0.04,1344.52
0.05,1364.64
0.06,1382.67
0.07,1398.55
0.08,1412.22
0.09,1425.11
0.1,1438.49
0.11,1449.63
0.12,1459.1
0.13,1469.14
0.14,1478.03
0.15,1487.01
0.16,1496.91
0.17,1506.39
0.18,1511.08
0.19,1518.71
0.2,1526.76
0.21,1534.2
0.22,1540.73
0.23,1546.35
0.24,1551.85
0.25,1557.31
