# Khan2007 Figure 4 Alloy 1
# Temperature: 755 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.047
#  H, 0.0031
# Fe, 0.14
#  O, 0.178
# Al, 6.26
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.001104,522.72
0.004692,541.15
0.010489,562.93
0.022358,586.39
0.036987,611.52
0.051617,631.62
0.062382,645.03
0.073147,656.75
0.087776,670.16
0.099369,676.86
0.111238,686.91
0.124487,693.61
0.13608,707.02
0.14933,715.39
0.160923,718.74
0.175,723.77
0.191285,723.77
0.205915,732.15
0.221648,727.12
0.23545,728.8
0.251735,727.12
0.26664,720.42
0.281546,713.72
