# Khan2007 Figure 5 Alloy 2
# Temperature: 296 K
# Strain rate: 2926 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.00591,1357.07
0.015957,1367.12
0.032309,1385.55
0.047478,1397.28
0.065406,1410.68
0.079196,1417.38
0.093184,1422.41
0.107171,1425.76
0.12431,1430.79
0.137904,1434.14
0.151103,1439.16
0.167061,1434.14
0.183609,1439.16
0.197203,1439.16
0.210402,1434.14
0.220646,1430.79
0.22892,1430.79
