# Khan2007 Figure 4 Alloy 1
# Temperature: 296 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.047
#  H, 0.0031
# Fe, 0.14
#  O, 0.178
# Al, 6.26
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.000828,911.41
0.00138,933.19
0.003312,944.92
0.005521,958.32
0.007453,970.05
0.009109,978.43
0.013525,990.16
0.019598,1006.91
0.02567,1023.66
0.032019,1033.72
0.03892,1053.82
0.043336,1060.52
0.052445,1075.6
0.065418,1105.76
0.071491,1114.14
0.085292,1134.24
0.098265,1154.35
0.111514,1176.13
0.119243,1187.85
0.145741,1219.69
0.156782,1238.12
0.183005,1266.6
0.195426,1281.68
0.209503,1300.1
0.223304,1315.18
0.23683,1333.61
0.250631,1350.37
0.263052,1360.42
0.268021,1370.47
0.273265,1373.82
0.289274,1387.23
0.299763,1398.95
0.307768,1400.63
