# Khan2004 Figure 1
# Temperature: 296 K
# Strain rate: 3378 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.000495,1359.56
0.005202,1361.75
0.012386,1366.12
0.022296,1370.49
0.035178,1378.14
0.047069,1383.61
0.059207,1389.07
0.07308,1391.26
0.086705,1398.91
0.101569,1401.09
0.113955,1405.46
0.128076,1412.02
0.142444,1412.02
0.153344,1415.3
0.163997,1416.39
0.177622,1417.49
0.19199,1416.39
0.205367,1419.67
0.21924,1418.58
0.231627,1413.11
