# Khan2004 Figure 1
# Temperature: 296 K
# Strain rate: 1.0e-5 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.002725,926.78
0.010652,960.66
0.018332,979.23
0.028984,1007.65
0.040132,1036.07
0.052023,1065.57
0.063171,1087.43
0.074814,1107.1
0.086705,1127.87
0.097358,1142.08
0.107019,1153.01
0.120396,1169.4
0.133526,1183.61
0.147647,1200
0.159042,1207.65
0.172667,1225.14
0.18654,1238.25
0.198927,1249.18
0.211065,1265.57
0.225186,1279.78
0.238315,1297.27
0.254418,1318.03
