# Khan2007 Figure 9 Alloy 3
# Temperature: 422 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.000237,815.09
0.002136,836.9
0.005934,862.05
0.011155,887.21
0.019937,912.37
0.029905,940.88
0.040585,961.01
0.050791,982.81
0.062658,996.23
0.073813,1011.32
0.08568,1026.42
0.09375,1031.45
0.101108,1041.51
0.111788,1051.57
0.122231,1064.99
0.132199,1068.34
0.14288,1080.08
0.153797,1090.15
0.163291,1098.53
0.172547,1111.95
0.179668,1115.3
0.186076,1118.66
