# Khan2007 Figure 5 Alloy 2
# Temperature: 296 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.002955,918.12
0.009653,949.95
0.015563,968.38
0.022853,990.16
0.029748,1006.91
0.037234,1023.66
0.043144,1035.39
0.049842,1050.47
0.057329,1065.55
0.062648,1072.25
0.068952,1083.98
0.074665,1092.36
0.082151,1100.73
0.089638,1117.49
0.09673,1122.51
0.103034,1130.89
0.109929,1140.94
0.116036,1149.32
0.123325,1156.02
