# Khan2007 Figure 3 Alloy 1
# Temperature: 296 K
# Strain rate: 3100 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.047
#  H, 0.0031
# Fe, 0.14
#  O, 0.178
# Al, 6.26
#  V, 4.16
# ----------
# plas. strain, stress (MPa)
0.001387,1385.32
0.013867,1388.68
0.026624,1392.03
0.038827,1395.39
0.054081,1400.42
0.067116,1398.74
0.08126,1400.42
0.096236,1403.77
0.111212,1402.1
0.124247,1400.42
0.135618,1395.39
0.146712,1395.39
0.156141,1395.39
0.164461,1395.39
0.174723,1395.39
0.185539,1395.39
0.196632,1395.39
0.20523,1400.42
0.215491,1395.39
0.224366,1392.03
0.236014,1383.65
0.247108,1380.29
0.255705,1375.26
