# Khan2007 Figure 8 Alloy 3
# Temperature: 296 K
# Strain rate: 1e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.001935,1139.52
0.007258,1154.54
0.014274,1174.56
0.022742,1197.91
0.030484,1214.6
0.041129,1236.29
0.049839,1256.31
0.057339,1272.99
0.065565,1291.35
0.074274,1304.69
0.0825,1319.71
0.093629,1336.39
0.103548,1353.08
0.115161,1364.75
0.125565,1376.43
0.133306,1389.78
0.140323,1396.45
0.149032,1409.8
0.160161,1424.82
0.169355,1433.16
0.17879,1441.5
