# Khan2007 Figure 3 Alloy 1
# Temperature: 296 K
# Strain rate: 1e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.047
#  H, 0.0031
# Fe, 0.14
#  O, 0.178
# Al, 6.26
#  V, 4.16
# ----------
# plas. strain, stress (MPa)
0.000277,1016.35
0.002773,1031.45
0.004992,1039.83
0.007488,1053.25
0.010261,1061.64
0.013312,1064.99
0.01664,1068.34
0.022187,1081.76
0.025515,1085.12
0.027734,1091.82
0.034113,1098.53
0.038827,1108.6
0.047425,1123.69
0.061014,1145.49
0.068225,1157.23
0.08126,1175.68
0.0979,1200.84
0.108716,1210.9
0.11454,1224.32
0.124525,1236.06
0.133954,1247.8
0.138114,1251.15
0.143106,1259.54
0.148376,1271.28
0.15836,1281.34
0.164739,1284.7
0.170563,1296.44
0.179992,1306.5
0.188867,1314.88
0.194136,1324.95
0.208281,1340.04
0.216878,1351.78
0.22187,1360.17
0.227417,1366.88
