# Khan2007 Figure 3 Alloy 1
# Temperature: 296 K
# Strain rate: 1e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.047
#  H, 0.0031
# Fe, 0.14
#  O, 0.178
# Al, 6.26
#  V, 4.16
# ----------
# plas. strain, stress (MPa)
0.000277,1106.92
0.003328,1123.69
0.005824,1137.11
0.010816,1143.82
0.015531,1157.23
0.019691,1160.59
0.02496,1174
0.033281,1190.78
0.037995,1199.16
0.047425,1210.9
0.061846,1227.67
0.070166,1239.41
0.075436,1247.8
0.092076,1267.92
0.095959,1276.31
0.10317,1283.02
0.108439,1286.37
0.118423,1293.08
