# Khan2007 Figure 6 Alloy 2
# Temperature: 296 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.000198,804.2
0.002573,920.04
0.009501,950.26
0.015241,972.09
0.022565,990.56
0.029295,1007.35
0.037213,1020.78
0.042755,1034.21
0.049683,1051
0.057007,1062.75
0.062549,1071.14
0.068686,1084.58
0.074624,1091.29
0.08175,1101.36
0.089667,1113.12
0.096397,1121.51
0.102534,1128.23
0.109462,1139.98
0.115994,1150.05
0.123317,1155.09
