# Khan2007 Figure 6 Alloy 2
# Temperature: 422 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.000198,743.76
0.001188,772.3
0.002573,789.09
0.005542,805.88
0.008511,817.63
0.011876,834.42
0.020982,862.96
0.029295,884.78
0.036025,904.93
0.045527,925.08
0.057601,945.23
0.068884,962.01
0.078187,970.41
0.085907,983.84
0.091251,987.2
0.096991,990.56
0.108868,1007.35
