# Khan2007 Figure 6 Alloy 2
# Temperature: 755 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.000594,523.82
0.005542,560.76
0.010491,584.26
0.015241,607.76
0.026326,643.02
0.036619,669.88
0.046318,693.39
0.057205,713.54
0.071853,742.08
0.084917,767.26
0.094616,784.05
0.104711,799.16
0.11441,812.59
0.127078,827.7
0.137569,841.13
0.148654,849.53
0.162906,862.96
0.173397,871.35
0.185273,878.07
0.194972,879.75
0.209422,883.11
0.223278,883.11
0.235352,886.46
0.248021,883.11
