# Khan2007 Figure 5 Alloy 2
# Temperature: 296 K
# Strain rate: 1e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.002561,953.3
0.010638,986.81
0.019898,1010.26
0.031718,1040.42
0.041765,1060.52
0.051221,1075.6
0.05989,1094.03
0.069543,1109.11
0.079196,1127.54
0.086682,1134.24
0.09673,1150.99
0.105004,1157.7
0.112687,1172.77
0.121355,1179.48
0.127463,1182.83
0.134358,1192.88
0.144011,1206.28
0.1513,1216.34
0.15918,1226.39
0.16647,1233.09
0.173759,1239.79
0.183018,1253.19
0.191489,1261.57
0.200552,1274.97
0.211584,1288.38
0.219267,1296.75
0.229314,1310.16
0.240544,1318.53
