# Khan2007 Figure 5 Alloy 2
# Temperature: 296 K
# Strain rate: 1e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.002364,1050.47
0.007289,1078.95
0.01379,1109.11
0.020489,1125.86
0.028566,1145.97
0.035264,1166.07
0.04275,1186.18
0.04866,1199.58
0.054965,1211.31
0.061466,1228.06
0.068755,1239.79
0.075453,1253.19
0.081757,1264.92
0.088652,1273.3
0.09673,1290.05
0.10264,1298.43
0.109141,1306.81
0.11643,1318.53
0.123719,1326.91
0.130812,1340.31
0.137313,1347.02
0.144011,1360.42
0.150906,1363.77
0.15721,1372.15
0.162924,1380.52
0.169425,1388.9
