# Khan2007 Figure 6 Alloy 2
# Temperature: 233 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.003
#  C, 0.045
#  H, 0.0026
# Fe, 0.18
#  O, 0.112
# Al, 6.30
#  V, 3.86
# ----------
# plas. strain, stress (MPa)
0.000792,837.78
0.001781,903.25
0.004553,962.01
0.009897,983.84
0.019596,1019.1
0.030483,1047.64
0.045131,1076.18
0.055819,1096.33
0.067894,1114.8
0.078781,1129.91
0.088876,1141.66
0.102534,1158.45
0.119952,1183.63
0.131235,1197.06
0.143508,1212.17
0.157561,1225.6
0.172803,1240.71
0.186263,1250.79
0.199129,1262.54
0.212787,1260.86
0.222288,1262.54
0.231591,1259.18
