# Khan2007 Figure 4 Alloy 1
# Temperature: 588 K
# Strain rate: 1e-4 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.047
#  H, 0.0031
# Fe, 0.14
#  O, 0.178
# Al, 6.26
#  V, 4.16
# ----------
# plas. strain, stress (MPa)
0.000828,589.74
0.011317,628.27
0.024014,675.18
0.0403,708.69
0.054653,732.15
0.071215,765.65
0.0875,789.11
0.100749,810.89
0.114826,827.64
0.132216,847.75
0.148226,874.55
0.162303,889.63
0.179416,901.36
0.200394,921.47
0.213368,929.84
0.226893,934.87
0.240142,943.25
0.251735,948.27
0.260844,943.25
