# Khan2007 Figure 8 Alloy 3
# Temperature: 296 K
# Strain rate: 1e-5 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.001452,932.64
0.009677,964.34
0.017419,982.69
0.028548,1012.72
0.039194,1041.08
0.050806,1069.45
0.062419,1094.47
0.074032,1112.83
0.085887,1134.52
0.096048,1149.53
0.10621,1157.87
0.119516,1177.89
0.133065,1189.57
0.147097,1206.26
0.15871,1214.6
0.171532,1229.61
0.185565,1246.3
0.198387,1259.65
0.210726,1274.66
0.224758,1286.34
0.238065,1306.36
0.25379,1326.38
