# Babu2013 Figure 5
# Temperature: 1223 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
True strain, stress (MPa)
-1.38778e-17,0
0.005519,81.953
0.006327,87.994
0.01663,104.763
0.026987,106.026
0.036944,103.14
0.047317,99.715
0.057273,97.1
0.068877,97.1
0.078401,99.534
0.088757,101.067
0.120666,101.968
0.152994,101.608
0.184078,101.427
0.216403,102.149
0.24873,102.149
0.28023,101.337
0.312556,101.698
0.34364,101.518
0.37638,101.878
0.408294,101.427
0.440619,101.968
0.472944,102.419
