# Babu2013 Figure 5
# Temperature: 1323 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
True strain, stress (MPa)
-1.38778e-17,0
0.00563,49.767
0.006858,54.185
0.018042,56.078
0.029236,54.816
0.040017,53.464
0.051632,50.398
0.062419,47.153
0.073608,47.243
0.085203,50.218
0.121666,52.472
0.157719,53.464
0.194603,54.005
0.231487,54.455
0.267128,54.996
0.3036,54.906
0.340484,55.177
0.376541,55.357
0.4126,54.726
0.449899,54.996
0.485127,55.086
