# Babu2013 Figure 3
# Temperature: 473 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, -
#  N, -
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
# True strain, stress (MPa)
0,-2.27374e-13
0.010176,856.77
0.016617,898.34
0.023152,928.33
0.029593,950.15
0.036034,971.96
0.042196,992.41
0.048544,1005.36
0.055358,1019.67
0.061613,1030.57
0.068335,1034.66
0.074496,1046.93
0.080937,1050.34
0.087472,1058.52
0.09382,1066.02
0.100168,1067.38
0.106423,1072.83
0.113051,1076.92
0.119025,1079.65
0.12556,1083.06
0.132282,1084.42
0.138723,1087.15
0.144978,1089.87
0.151419,1091.24
0.157674,1094.64
0.164208,1096.69
0.17065,1097.37
