# Millet2008 Figure 5
# Temperature: 300 K
# Velocity: unknown
# Flyer Mat: unknown (Cu or Dural)
# Flyer Thick: 6 mm
# Anvil Mat: same as flyer
# Anvil Thick: 3 mm
# Target Mat: Ti64
# Target Thick: 8 mm
# Backer Mat: N/A
# Backer Thick: N/A
# Guage position: 4 mm (target mid)
# Impact stress: 9.85 GPa
# Long Axis: <101bar0> rod axial fiber direction texture of moderate strength (ca. x4)
# Impact Dir: Long
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, 0.0055
#  C, 0.01
#  H, 0.0035
# Fe, 0.16
#  O, 0.18
# Al, 6.46
#  V, 4.04
# Mn, N/A
# Si, N/A
# ----------
Time (us), stress (GPa)
2.27621,0.0543
2.42137,0.0815
2.56653,0.0679
2.6996,0.0679
2.84476,0.0815
3.00806,0.0815
3.15927,0.0679
3.30444,0.0679
3.4496,0.0815
3.58871,0.0679
3.71573,0.0815
3.76411,0.0951
3.78226,0.231
3.81855,1.019
3.83065,1.6033
3.84879,2.6902
3.87298,3.4783
3.89113,4.0082
3.92137,4.6196
3.95161,5.4891
3.95766,5.8016
3.96976,6.1413
3.9879,6.5217
4,6.7799
4.0121,7.0516
4.02419,7.4049
4.06653,7.7717
4.10887,7.5272
4.15121,7.2826
4.21774,7.4592
4.25403,7.5272
4.30847,7.3098
4.35685,7.1603
4.39315,7.2418
4.43548,7.3777
4.48387,7.4864
4.54435,7.3913
4.58669,7.269
4.64718,7.3234
4.69556,7.4185
4.7379,7.2962
4.78024,7.1467
4.84677,7.2283
4.88306,7.4185
4.94355,7.337
4.98589,7.2147
5.04637,7.3234
5.10081,7.3913
5.14919,7.3505
5.22177,7.2826
5.29435,7.4185
5.34274,7.3777
5.40323,7.3234
5.47581,7.3234
5.54839,7.0652
5.59677,6.7799
5.63911,6.6712
5.6754,6.5082
5.71169,6.3315
5.76613,5.9783
5.79032,5.5435
5.83266,5.1766
5.85081,4.8641
5.89315,4.4293
5.91734,4.0489
5.95363,3.6685
5.98387,3.4103
6.01411,3.2337
6.0625,3.0435
6.10484,2.9755
6.17137,2.894
6.20161,2.731
6.21371,2.6495
6.25605,2.5136
6.29839,2.3913
6.31653,2.3098
6.35282,2.1739
6.38911,2.0245
6.41331,1.9022
6.46169,1.7663
6.51008,1.6576
6.55847,1.5217
6.60081,1.3995
