# Nemat-Nasser2001 Figure 1b Commercial Ti64
# Temperature: 296 K
# Strain rate: 2000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.001
#  N, 0.01
#  C, 0.01
#  H, 0.0006
# Fe, 0.21
#  O, 0.19
# Al, 6.21
#  V, 3.61
# ----------
# True Strain, True Stress (MPa)
-6.93889e-18,0
0.002121,252.75
0.00355,356.06
0.005222,459.36
0.006403,586.66
0.007351,678.9
0.009715,926.11
0.011619,1070
0.013049,1173.31
0.014726,1254.48
0.016165,1319.04
0.018818,1376.21
0.021733,1350.35
0.023193,1330.04
0.026109,1300.5
0.029498,1318.92
0.032405,1329.96
0.035315,1326.24
0.038707,1335.44
0.042098,1344.63
0.046948,1340.9
0.051311,1340.86
0.056157,1351.88
0.06052,1355.53
0.065368,1355.49
0.069732,1355.45
0.074578,1366.47
0.078939,1377.5
0.083785,1384.84
0.088148,1388.49
0.092997,1388.44
0.097362,1381.02
0.102211,1380.98
0.106574,1380.94
0.110937,1384.59
0.115298,1395.62
0.120147,1395.57
0.124997,1388.15
0.129118,1388.11
