# Babu2013 Figure 4
# Temperature: 973 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
True strain, stress (MPa)
-1.38778e-17,-2.27374e-13
0.009123,416.928
0.019491,471.906
0.028614,506.7
0.038152,539.405
0.061374,581.842
0.084597,606.876
0.106991,615.207
0.129384,615.881
0.153021,612.377
0.176659,608.873
0.199882,598.409
0.22269,589.338
0.245912,579.57
0.26872,566.322
0.291528,557.947
0.314751,547.483
0.337559,538.411
0.360782,527.948
0.384419,518.875
0.407642,511.892
0.43045,504.908
0.452844,500.71
0.476066,498.599
