# Babu2013 Figure 3
# Temperature: 573 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 687.05
0.006161, 735.44
0.012136, 779.07
0.023338, 831.55
0.034634, 870.4
0.04565, 894.94
0.057039, 912.66
0.068054, 927.65
0.079163, 935.83
0.090552, 940.6
0.101568, 948.1
0.113051, 955.6
0.12416, 959.69
0.135082, 963.1
0.146378, 967.87
0.15758, 970.59
