# Babu2013 Figure 3
# Temperature: 673 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 707.5
0.007095, 766.8
0.014003, 803.6
0.020818, 832.91
0.027913, 860.18
0.034727, 881.99
0.041729, 892.21
0.049011, 907.89
0.056012, 922.88
0.06292, 931.06
0.069828, 939.24
0.07683, 946.74
0.083925, 950.83
0.090926, 956.28
0.097834, 956.96
0.104929, 961.73
0.111931, 963.1
0.118839, 963.1
0.12556, 961.73
0.132748, 960.37
0.139843, 961.73
0.146938, 960.37
0.15394, 956.28
0.160941, 955.6
