# Babu2013 Figure 3
# Temperature: 473 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
True strain, stress (MPa)
0,-2.27374e-13
0.008402,681.6
0.016243,768.84
0.023618,838.36
0.03146,888.12
0.038928,922.88
0.04677,952.19
0.054612,974.68
0.061987,993.77
0.069735,1006.04
0.077296,1019.67
0.084858,1031.26
0.092793,1042.84
0.100355,1049.66
0.108196,1057.16
0.115851,1062.61
0.12332,1066.7
0.130975,1070.11
0.13863,1073.52
0.146191,1075.56
0.154033,1076.24
0.161688,1074.88
