# Babu2013 Figure 4
# Temperature: 1073 K
# Strain rate: 1.0e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
True strain, stress (MPa)
-1.38778e-17,-2.27374e-13
0.005806,141.99
0.014514,181.656
0.024882,194.175
0.034834,202.518
0.045616,207.379
0.055569,208.065
0.079621,203.169
0.103258,196.881
0.126481,188.505
0.151777,181.52
0.175,173.84
0.198637,168.944
0.222275,164.744
0.246742,159.847
0.270379,155.648
0.294846,152.143
0.318069,148.64
0.342121,145.135
0.366173,141.631
0.390225,137.431
0.413448,133.232
0.438329,129.727
0.461967,126.919
