# Church2002 Figure 2
# Temperature: 300 K
# Velocity: 781 m s^-1
# Flyer Mat: Ti64
# Flyer Thick: 6 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 12 mm
# Backer Mat: PMMA
# Backer Thick: 12 mm
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, N/A
#  C, N/A
#  H, N/A
# Fe, N/A
#  O, N/A
# Al, 6
#  V, 4
# Mn, N/A
# Si, N/A
# ----------
Time (us), stress (GPa)
2.22045e-16,-4.44089e-16
0.02096,0.22749
0.04192,0.39061
0.04763,0.49147
0.05906,0.58162
0.07812,0.62027
0.12765,0.64608
0.16385,0.67402
0.19815,0.71269
0.22101,0.75778
0.22482,0.84792
0.24007,1.14193
0.25912,1.48959
0.26293,1.78573
0.26864,2.02608
0.28389,2.22352
0.29722,2.41024
0.30675,2.51754
0.35438,2.55408
0.41535,2.5842
0.47823,2.56926
0.52967,2.50709
0.56968,2.50284
0.67447,2.51156
0.75449,2.53526
0.7926,2.53316
0.85738,2.53539
0.87452,2.51609
0.9031,2.53759
0.9393,2.53978
0.96979,2.54625
1.00027,2.53771
1.05362,2.54421
1.08601,2.5421
1.12221,2.54644
1.15651,2.5379
1.20604,2.52723
1.24034,2.52942
1.27654,2.50586
1.31655,2.52737
1.35084,2.51668
1.38895,2.51029
1.43277,2.51463
1.45754,2.4932
1.46707,2.50824
1.48231,2.52757
1.50517,2.50185
1.5147,2.48898
1.58329,2.36889
1.589,2.41397
1.61568,2.37752
1.62901,2.39041
1.63854,2.36038
1.65378,2.38829
1.67284,2.35613
1.68046,2.37116
1.72237,2.32829
1.75095,2.24893
1.77382,2.18243
1.80621,2.10737
1.85765,2.04305
1.91671,1.96802
1.95291,1.92514
2.01388,1.84582
2.06151,1.77291
2.11486,1.68714
2.16249,1.59493
2.19298,1.48552
2.24251,1.39331
2.30158,1.24746
2.35683,1.16169
2.40065,1.06947
2.44066,0.9708
2.48258,0.87643
2.53212,0.78637
2.56832,0.74135
2.5988,0.76714
2.63691,0.85731
2.69978,1.15996
2.75122,1.40895
2.80076,1.58927
2.86745,1.7503
2.92842,1.88342
2.97795,2.00365
3.05416,2.10675
3.15133,2.20773
3.21421,2.28506
3.30757,2.39891
3.38759,2.46767
3.47523,2.54503
3.55716,2.6138
3.63718,2.65038
3.70958,2.66335
3.7896,2.6613
3.90392,2.63783
