# Church2002 Figure 2
# Temperature: 300 K
# Velocity: 765 m s^-1
# Flyer Mat: Ti64
# Flyer Thick: 3 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 6 mm
# Backer Mat: PMMA
# Backer Thick: 12 mm
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, N/A
#  C, N/A
#  H, N/A
# Fe, N/A
#  O, N/A
# Al, 6
#  V, 4
# Mn, N/A
# Si, N/A
# ----------
Time (us), stress (GPa)
2.22045e-16,-4.44089e-16
0.01905,0.20174
0.04573,0.50435
0.05335,0.60307
0.0724,0.63528
0.09717,0.65463
0.11051,0.70829
0.12384,0.91431
0.12956,1.05166
0.13146,1.20402
0.13337,1.55381
0.14099,1.92077
0.1448,2.20619
0.15623,2.30062
0.16004,2.50663
0.16957,2.60321
0.17841,2.63918
0.21442,2.68248
0.26483,2.70417
0.30804,2.70963
0.34164,2.66642
0.38005,2.6232
0.43046,2.63138
0.48087,2.63414
0.53128,2.6288
0.58649,2.61264
0.64171,2.61001
0.69212,2.62088
0.73773,2.60201
0.79054,2.59397
0.82654,2.54264
0.85928,2.4753
0.9012,2.36591
0.93549,2.24149
0.99075,2.1128
1.02504,2.00984
1.0841,1.87043
1.1546,1.65378
1.20985,1.4929
1.25177,1.31699
1.32417,1.0424
1.40229,0.75065
1.42705,0.6863
1.44039,0.7185
1.44611,0.78074
1.45563,0.87303
1.46516,0.97175
1.4785,1.22499
1.48802,1.29582
1.49946,1.35162
1.50898,1.40958
1.52232,1.46753
1.53947,1.52549
1.57948,1.57919
1.61568,1.63717
1.67474,1.67373
1.72618,1.68237
1.78906,1.65455
1.87289,1.60101
1.91397,1.56253
1.95238,1.51121
1.97158,1.47609
2.00519,1.42476
2.0388,1.37073
2.07485,1.30727
2.1282,1.18501
2.2025,1.03274
2.28824,0.85688
2.34159,0.77755
2.36636,0.79475
2.39113,0.85916
2.40637,0.93214
2.42733,1.01156
2.4521,1.08241
2.4902,1.1361
2.5165,1.17124
2.56931,1.19293
2.62212,1.193
2.67253,1.19847
2.72534,1.20123
2.77335,1.19859
2.82376,1.17432
2.86937,1.14734
2.91258,1.11224
2.94379,1.07713
2.9822,1.02851
3.02541,0.9799
3.06179,0.96084
3.09036,0.89006
3.12847,0.84289
3.14783,0.7962
3.19104,0.75299
3.22754,0.72284
