# Church2002 Figure 2
# Temperature: 300 K
# Velocity: 591 m s^-1
# Flyer Mat: Ti64
# Flyer Thick: 6 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 12 mm
# Backer Mat: PMMA
# Backer Thick: 12 mm
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, N/A
#  C, N/A
#  H, N/A
# Fe, N/A
#  O, N/A
# Al, 6
#  V, 4
# Mn, N/A
# Si, N/A
# ----------
Time (us), stress (GPa)
2.22045e-16,-4.44089e-16
0.02667,0.23608
0.04192,0.45499
0.06478,0.54729
0.0705,0.58163
0.10289,0.58811
0.13527,0.60532
0.15814,0.63539
0.18481,0.65688
0.20386,0.69767
0.23054,0.75779
0.24388,0.81146
0.2534,0.86083
0.27817,1.11408
0.30294,1.39522
0.31818,1.59052
0.34105,1.74291
0.3601,1.84164
0.38868,1.88889
0.41345,1.91038
0.45346,1.92759
0.49918,1.91907
0.54491,1.90625
0.58683,1.89128
0.67256,1.88924
0.76021,1.89793
0.80403,1.91086
0.84404,1.9152
0.88786,1.90023
0.93168,1.89599
0.97931,1.90249
1.01742,1.91112
1.05934,1.90473
1.10506,1.88977
1.14888,1.88982
1.18318,1.89415
1.22891,1.90065
1.35275,1.89007
1.4804,1.88379
1.52613,1.89028
1.56995,1.87317
1.64045,1.85823
1.68617,1.82181
1.75857,1.75108
1.83669,1.60526
1.88623,1.51304
1.93386,1.40795
2.00245,1.31791
2.03103,1.26429
2.0577,1.21497
2.08247,1.18281
2.1301,1.07128
2.17964,0.9898
2.21013,0.94477
2.26347,0.85685
2.29205,0.80324
2.32635,0.75178
2.35302,0.72392
2.3816,0.68103
2.47115,0.55239
2.49782,0.5095
2.5245,0.47305
2.5626,0.44306
2.58356,0.43021
2.60642,0.44955
2.62548,0.42811
2.67501,0.40671
2.7055,0.43465
2.76647,0.56777
2.816,0.7953
2.84268,0.94125
2.87507,1.08507
2.91889,1.23748
2.98176,1.4264
3.02749,1.51873
3.08274,1.65614
3.14371,1.75493
3.18372,1.77644
3.21992,1.77219
3.26565,1.78512
3.29232,1.83666
3.31709,1.88175
3.35139,1.91827
3.39902,1.9355
3.43332,1.93125
3.47142,1.89481
3.50191,1.89485
3.55144,1.91423
3.59526,1.92501
3.63527,1.9315
