# Dandekar2000 Figure 2
# Temperature: 300 K
# Velocity: 662 m s^-1
# Flyer Mat: Tungsten Carbide (WC)
# Flyer Thick: 4.011 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 7.999 mm
# Backer Mat: N/A
# Backer Thick: N/A
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, 0.008
#  C, 0.025
#  H, N/A
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, N/A
# Si, N/A
# ----------
Time (us), velocity (m/s)
1.00561,-0.213
1.44164,-0.9
1.48988,0.584
1.51601,2.055
1.52818,11.648
1.53097,80.996
1.53745,120.834
1.54372,142.968
1.56183,145.183
1.58804,153.301
1.60422,162.155
1.62042,173.222
1.63868,188.716
1.64493,208.635
1.65337,244.047
1.66143,424.789
1.67495,733.896
1.68497,909.475
1.69534,938.247
1.72374,961.857
1.76414,981.043
1.81457,998.753
1.86093,1011.3
1.9051,1008.354
1.94733,1011.309
1.97743,1007.624
2.02572,1013.531
2.04988,1017.222
2.06796,1017.224
2.1042,1023.13
2.15642,1021.66
2.19055,1018.713
2.21669,1020.191
2.2428,1019.456
