# Dandekar2000 Figure 2
# Temperature: 300 K
# Velocity: 653 m s^-1
# Flyer Mat: Z-cut Sapphire
# Flyer Thick: 6.024 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 5.980 mm
# Backer Mat: N/A
# Backer Thick: N/A
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, 0.008
#  C, 0.025
#  H, N/A
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, N/A
# Si, N/A
# ----------
Time (us), velocity (m/s)
1.00361,0.531
1.11612,-0.935
1.1684,2.017
1.21659,-0.19
1.22666,1.289
1.23873,2.768
1.24709,210.067
1.25692,190.888
1.26496,190.889
1.28104,191.628
1.29513,193.843
1.30122,199.008
1.31749,215.977
1.3317,229.258
1.34385,237.374
1.34598,248.44
1.35882,317.787
1.36165,390.822
1.36864,475.661
1.3755,550.171
1.38006,598.124
1.38267,651.239
1.38512,691.077
1.3959,755.998
1.41242,795.099
1.43879,817.233
1.48304,820.927
1.53141,834.211
1.5696,835.691
1.59171,835.693
1.648,837.912
1.66609,838.651
1.6983,843.819
1.76058,843.089
1.82086,843.095
1.86911,845.314
1.94343,843.109
1.9836,841.637
2.01976,840.903
2.078,838.696
2.11422,842.389
2.14232,840.179
2.18653,840.184
2.24282,842.403
