# Dandekar2000 Figure 2
# Temperature: 300 K
# Velocity: 653 m s^-1
# Flyer Mat: Ti64
# Flyer Thick: 3.954 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 5.993 mm
# Backer Mat: N/A
# Backer Thick: N/A
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, 0.008
#  C, 0.025
#  H, N/A
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, N/A
# Si, N/A
# ----------
Time (us), velocity (m/s)
1.00561,-0.213
1.19652,1.286
1.26686,2.772
1.27922,29.328
1.28298,184.989
1.28911,193.842
1.30527,201.221
1.33146,207.863
1.35775,222.621
1.39028,256.56
1.40667,284.595
1.41133,341.4
1.42235,427.714
1.42884,469.027
1.44195,562.719
1.46448,600.346
1.49073,612.152
1.52705,625.435
1.57333,631.342
1.6015,635.034
1.64576,639.465
1.68597,641.682
1.73217,640.212
1.78447,644.644
1.82471,649.812
1.89095,643.917
1.94926,646.875
1.9995,647.618
2.04974,648.362
2.10801,648.368
2.15222,648.373
2.19642,648.377
2.24067,652.07
