# Dandekar2000 Figure 2
# Temperature: 300 K
# Velocity: 398 m s^-1
# Flyer Mat: Ti64
# Flyer Thick: 4.028 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 6.003 mm
# Backer Mat: N/A
# Backer Thick: N/A
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, 0.008
#  C, 0.025
#  H, N/A
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, N/A
# Si, N/A
# ----------
Time (us), velocity (m/s)
1.00762,-0.212
1.35324,0.569
1.41957,2.788
1.42784,23.442
1.43042,73.606
1.43665,92.056
1.44142,158.448
1.45162,172.466
1.47778,175.42
1.48986,177.635
1.50612,193.866
1.52842,211.574
1.5487,228.543
1.57098,244.038
1.58532,268.385
1.60371,295.682
1.60798,317.814
1.6243,339.21
1.64055,355.441
1.67886,367.249
1.72115,375.368
1.76942,379.063
1.81165,382.018
1.88,384.977
1.94229,384.983
1.97846,384.987
2.00862,387.204
2.06691,388.685
2.13128,394.594
2.18755,395.337
2.2418,395.343
