# Dandekar2000 Figure 2
# Temperature: 300 K
# Velocity: 657 m s^-1
# Flyer Mat: Tungsten Carbide (WC)
# Flyer Thick: 0.947 mm
# Anvil Mat: N/A
# Anvil Thick: N/A
# Target Mat: Ti64
# Target Thick: 1.858 mm
# Backer Mat: N/A
# Backer Thick: N/A
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, N/A
#  N, 0.008
#  C, 0.025
#  H, N/A
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, N/A
# Si, N/A
# ----------
Time (us), velocity (m/s)
1.00963,-0.212
1.07394,0.538
1.08044,42.588
1.08122,111.936
1.08456,229.968
1.09046,218.166
1.09871,237.347
1.10703,262.431
1.11153,305.219
1.11617,360.548
1.12222,719.082
1.13099,963.269
1.14739,992.042
1.17565,1003.848
1.20984,1006.065
1.21994,1010.492
1.25209,1011.234
1.27823,1012.712
1.30636,1011.977
1.32647,1013.455
1.32835,1002.389
1.34626,986.899
1.35799,958.129
1.37561,916.819
1.38919,874.032
1.40057,813.541
1.41202,759.688
1.42377,732.393
1.44545,694.772
1.45728,674.855
1.47535,673.381
1.49151,680.76
1.4998,703.631
1.51411,725.764
1.5367,768.554
1.55534,817.984
1.56569,844.543
1.58798,861.513
1.60814,867.417
1.63018,861.517
1.64203,843.813
1.65189,826.847
1.67364,795.865
1.68736,764.882
1.70916,737.588
1.72905,719.886
1.74517,724.314
1.76543,739.07
1.78576,759.728
1.80402,775.223
1.81622,788.503
1.83652,806.211
1.84668,816.539
1.87281,817.28
1.89275,804.003
1.91059,781.873
1.94439,750.155
1.97439,737.617
2.00456,740.571
2.04086,751.641
2.06504,758.283
2.10523,758.288
