# Khan2004 Figure 2
# Temperature: 296 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.000247,983.64
0.002716,1013.09
0.007654,1027.27
0.015062,1050.18
0.023704,1069.82
0.034815,1099.27
0.046173,1123.27
0.057531,1146.18
0.069136,1172.36
0.081728,1190.91
0.091852,1206.18
0.102469,1223.64
0.113086,1233.45
0.124198,1250.91
0.136049,1262.91
0.146667,1273.82
0.155309,1283.64
0.166173,1293.45
0.179753,1312
0.194568,1324
